id,about,sector
219,"Based in the heart of Dublin, Dewl has been supplying electrical products to the country for more than 50 years. As a family run business, we promise to provide a dedicated, friendly and knowledgeable customer service to all those who choose to do business with us. We are a wholesaler and our customers are hospitals, pharmaceutical, industry, hotels & hospitality and universities as well as retailers, trade workers and contractors. We specialize in lighting but also supply for computer networks and HVAC systems. We deliver the finest brands and the latest technology so that our customers get a product that won't let them down. Our name and reputation for quality at competitive prices is something we cherish and therefore we do everything in our power to preserve it. Have a look through these pages and find out exactly what it is we do and what products we offer. We are confident that your experience with us, as a customer, will have you coming back for more. We love what we do and this makes dealing with us so much nicer than dealing with our competitors. So, check out the site and we hope to hear from you soon!",electrical
220,"At Duffy Taxation we specialise in offering a personal service to small and medium sized businesses including Medical Practitioners, pharmacies, restaurants Construction Motor and Retail Sector. We listen to your needs and provide a solution that is tailored to you, rather than a standard approach. We are expert in all the latest legal requirements and practice related to tax. As a trusted expert and experienced professional, you can expect a high level of service that all our customers enjoy. Our approach with clients is always fair, transparent and professional. Our personalised approach, ensures we are always fully engaged and responsive, ensuring each client is supported to be fully tax compliant while minimising their tax liability.",finance
221,"DX is a well-established provider of a wide-range of delivery services, including parcel freight, secure, courier and logistics services, across the UK and Ireland.",transportation
222,"Dynamic Fire and Security is a Belfast-based company specialising in fire and security systems. We work in the Property Management sector and service Apartment Blocks, Houses in Multiple Occupation (HMOs), Restaurants, Bars, Offices, Retail Space and Nursing Homes. Anywhere, really, where people gather to live, work, shop or socialise. We help clients to keep their properties safe and secure - and ensure they're fully compliant with all UK regulations. We cover the design, installation, commissioning and maintenance of: - CCTV Systems and Analytics - Intruder Alarms - Fire Alarms & Fire Extinguishers - Emergency Lighting & UPS (Uninterruptible Power Supply) - Access Control Systems including Automated Barriers, Gates & Roller Shutters - Nurse Call / Warden Call Systems & Intercoms We also perform Fire Risk Assessments, which are required by Northern Ireland Fire Safety Legislation and insurance companies. Whenever you walk the streets of Belfast, you'll almost certainly see fire and security systems installed by us. For a free, no-obligation survey and quotation - Please feel free to contact us.",industry
223,"Supplier and installers of quality A-Rated PVC windows & PVC Doors, Composite Doors to Dublin and surrounding areas. We have a large customer base who are extremely satisfied with our work. Our Staff at Dzone Windows have over 30 years experience in the uPVC Window industry and by offering a professional service from the moment you ring us to our after sales service ""We provide a professional and friendly service and we pride ourselves on this""",construction
224,"Express Distribution Services Ltd was established in 1997 by David Neill, Managing Director. Since then we have grown to be one of ireland's premier distribution companies. We operate a fleet of more than 40 vehicles, ranging from 12 ton curtainside rigid vehicles, all with tail lifts, to 44 ton articulated vehicles. 1998 We began trading in February 1998 from our 5000sq ft depot in Tandragee with 7 employees. 2006 We acquired an additional 5000 sq ft of space at our depot in Tandragee, doubling our warehouse and office accommodation, to facilitate our growing team of 30 employees. 2010 Due to expansion, we moved sites to purpose built premises in Silverwood Business Park in Craigavon. Doubling the size of our previous depot which provides us with a 20000 sq ft warehouse on a 3 acre site and 24 hour security. We now have a fleet of over 30 vehicles and 45 employees. 2012 We joined the Ace Express Pallet Network which significantly reduced our trunking costs and enhanced our service levels. 2014 We acquired Trailerfreight International in Birmingham; this provided us with our own base in Mainland UK. This has enabled us to provide a reliable cost efficient next day service to and from the West Midlands. 2016 Our total number of employees now stands at 72 over our two sites along with a fleet of over 40 vehicles. We are integrating a new transport software system to continuously improve our level of service to our loyal customers.",transportation
225,"Commercial Applications Insulate, add structural stability, prevent condensation and improve sound insulation. Domestic Appplications For new and existing dwellings. Save ££s on fuel bills through spray foam insulation of roof, attic, walls, ceilings and floors. Save Today With Easy Spray! Banish the fuel man, future proof your property with the complete air-tight solution.",construction
226,"About Us EasyDel is a 100% Irish owned parcel delivery service. Launched in 2022 our aim is to become the parcel carrier of choice for Irish Business. Our service has been designed from the ground up focussing on customers and their customers. We 're not rookie's either, we have over 10 years experience working in local, national and international parcel delivery, in fact our managing director ran the UPS parcel delivery franchise on the North East for three years. There is no road we don't know or a business or residential address we haven't delivered to. We are familiar with the good and not so good experiences businesses have experienced with their parcel delivery company.",transportation
227,"EPS (Ecclesville Printing Services) Ltd, based in Fintona, Co. Tyrone, was started almost 20 years ago by Joe McCillen. From a modest press established at home, on which Joe printed small items such as raffle tickets and invitations, to the premier print and design business that it is today, EPS has increased it's volume of production and grown year after year solely based upon recommendation of satisfied clients. We provide a vast range of services, the majority of which are in-house allowing us to remain competitive...",print
228,"From office buildings to bridges, we have lit them all. Eclipse has provided specialist lighting to some of the most prominent buildings and public spaces in Ireland, the UK, and beyond. We provide everything from design, supply, commissioning, and project management to final client handover and ongoing maintenance. Bio-adaptive lighting enhances the wellbeing of a building's occupants. By controlling light intensity and light temperature you can energise staff and support their wellbeing. At Eclipse, we are also major advocates for LED lighting and are passionate about helping companies improve their building environment and efficiency through the employment of smart LED lighting and lighting control systems. We specialise in automated lighting systems, dynamic lighting scenes, intuitive control systems, emergency lighting, and emergency lighting test systems. The integration of advanced technology into the management of a building's mechanical and electrical systems is known as building automation. This technology plays a crucial role in modern building design and management as it enhances energy efficiency, improves the quality of indoor air, increases safety measures, and ensures compliance.",electrical
229,"Founded in 2000, ECT Adhesives solutions is Irelands top adhesives supplier. We are Ireland's premier supplier of adhesives and dispensing equipment to Irish industry, including medical device assembly, electronics, wood working, sign manufacturing, packaging, construction and many more. For further information on this, please see our Industry tab. ECT Adhesives does not just sell a product, we take an application from the beginning to the end providing expert advice and support throughout. Our experienced and knowledge based technical sales staff have years of adhesive experience and we have a specialist adhesive chemist who works closely with all applications.",industry
230,"Eden Decorators is a long established company, established in 1981. We deliver our services to clients across Northern Ireland. Eden Decorators has a team of highly experienced and fully trained painting technicians, with a client base ranging from schools and universities to hotel chains and hospitals. Whether you require industrial or commercial painting services, we can help. We also have an in-house Quantity Surveyor, to ensure that all of our clients are given the highest quality service possible. What services do we offer? New build work Airless spraying Multi-colour spraying Office interiors Factory exteriors Any commercial premises No job is too big or too small",construction
231,"ABOUT EDGEWATER CONTRACTS DELIVERING A COMPLETE TURNKEY FIT-OUT SERVICE TO THE HOTEL, OFFICE, RETAIL & HERITAGE SECTORS Edgewater Contracts deliver complete turnkey solutions to the Hotel, Office, Retail & Heritage sectors With the support of our in-house manufacturing facility we routinely complete projects of the highest calibre, often in challenging environments. Through our many years of trading we have completed in excess of 30,000 hotel rooms and associated public area refurbishments in service. We work collaboratively with our clients to ensure efficient project delivery and minimum disruption to operations. This partnership culture has led to a strong portfolio of repeat business. Our core strength is the experience & commitment of our people. We have a fearless, flexible and innovative can-do approach which allows us to continually exceed our clients' expectations without ever compromising on the company's underlying principle of delivering a quality service we can be proud of.",construction
232,"Welcome to EF McCambridge & Co. E F Mc Cambridge & Co was established in 1935 and is a firm of accountants, registered auditors, and financial advisors, with offices in Derry, Ballycastle and Donegal. The firm has always provided a friendly, professional, and value for money service. You can rely on the personal attention of a partner at all times. With clients based in Northern Ireland and the Republic of Ireland we advise on the taxation and company law requirements of both jurisdictions. In addition to the mainstream services, we are authorised by the Financial Conduct Authority (FCA) to give financial advice on pensions, savings and investments. The impact of income tax, capital gains tax and inheritance tax on financial planning can be crucial and expertise in this area ensures tax efficiency. For more information on the services E F Mc Cambridge & Co offer, call us on 028 71 266002 or email us at reception@efmccambridge.co.uk",finance
233,"1983 was the year that our company, then named Eurofrance Ltd., commenced operating import and export services, primarily between Ireland and France. The creation of the single market enabled the company to expend services for imports and exports with most of the then EEC member countries. In 1986 the company expanded into the airfreight industry with membership of IATA in 1986 and later developed deep sea cargo services. A lot has happened in the intervening years. Today EFL International Distribution Ltd. is one of the few remaining, indigenous, Irish companies still operating within the Irish market. The companies' core services within the EU include driver-accompanied trailers, short sea containers and express vehicles operating on a daily basis. Add to this the services of International Pet transport through Pets on Board and motorcycle transport through Bike on Board, the company is open to new ideas and services.",transportation
234,"Eftech Ltd (Environmental foodservice technologies ltd) An Irish company providing high quality Extract canopies and solutions, Odour and grease elimination, Air purification, Demand control ventilation technologies to the commercial foodservice sectors. Our products and services offer the following benefits:- Reduction in Energy use. Reduction in maintenance costs. Environmentally friendly solutions (SEAI) Improved fire safety by removal of grease from duct systems. Removal of odour.Improved air quality & comfort. At EFTECH we understand the economic demands that customers face in the currentmarketplace. As a company it has helped to drive us in developing ""value engineered"" solutions for our clients. On all of our product ranges you will find options to better suit your budget requirements. Armed with our Customer Care pack we are happy to offer our clients back up service assistance on all of our products and services. From preventative maintenance through to customised maintenance contracts and reactive service calls.We won't disappear when the installation is complete! With our team of experts, EFTECH can perform site surveys to assess the individual needs and requirements for each specific customer. We will offer cost effective solutions realizing the need to be competitive in today's market place. We pride ourselves in helping our customers find the best possible engineered solutionsOur experience shows us that sites continue to change and present various challenges throughout the course of the build. Our engineers will ensure that these challenges are met with up to date engineering and high quality snag free site fitting.",engineering
235,"ESL (Electrical Supplies Limited) was founded in 1996 by Niall Dunne and Pat Biggs. Our staff are technical and very experienced each having more than 25 years experience in the electrical wholesale business. We are part of the 'Independent Electrical Buyers Group' (IEBG) giving us the buying power of our 28 trade counters enabling us to compete with the multi-nationals, but as an independent, we decide our own policies on selling prices, credit terms and product ranges. Get in touch today and let us show you the quality service that we can provide.",electrical
236,"EAE are a company with over 20 years' experience with a very dynamic innovative concept to automation and machine controls. We offer a specialized service, providing bespoke or predefined automation system design and integration of machinery / manufacturing Systems. EAE look to continuously innovate to develop and evolve with technology to offer our clients the integral cutting edge to stay a head of the ever changing manufacturing demands of todays and tomorrows world.",electrical
237,"EliteBranding.ie is one of Ireland's leading Signage and Display companies. With our custom designs, innovation, professionalism and high level of customer service we set the bar in the signs industry. We have completed many projects for architects, engineering companies , artists, corporate clients and thousands of business owners across Ireland. Elite Branding stands out in the signage world, being one of very few signage companies to manufacture everything in-house from design, fabrication to installation. We cover all types of signs on a nationwide level including Shop Fronts, Neon Signs, Projecting Signs, Dimensional Lettering, Pop-up & POS Displays, LED Signs, Light-Boxes, Indoor Signage, Directional Signs, Banners and any kind of bespoke custom signage.",print
238,"Based in Dundalk, Co. Louth, we are a leading aluminium window, door, and facade fabrication and installation company covering Ireland and parts of Northern Ireland. Our team is led by the company's Director, Adam O'Donovan, who has over 20 years experience in the business. Adam has built up a wealth of knowledge from working on all types of residential and commercial projects of both contemporary and traditional designs. All of our customers benefit from this experience and knowledge. Commercially we thrive on building relations with architects, and help turn their designs into reality with the use of CAD drawings to visualise a detailed finished product. We also work very closely with builders by facilitating on site meetings and initial consultations to ensure the final finished product is correct first time and every time. Ellipsis can also supply products to meet the requirements of current U-value regulations and beyond this for new passive builds.",construction
239,"Emerald Freight Express is Ireland's premier independent Freight Forwarder, established in 1981 by Mr Owen O'Brien & the Late Mr Tom Freeney to serve Dublin - Cork - Shannon - Belfast, with a full range of multi modal transportation services and 3PL Logistics. The 30th September 2017 saw the retirement of Mr O'Brien and the Management Buyout (MBO) take place with a new team of Directors joining the Operations Director Mr John McDermott to include, Mr Glen Warnock as CEO; Ms Anna Barden as Financial Director and Mr Mick Woods as Sales Director. Our Team consists of 36 dedicated logistics professionals. ""As CEO I believe that it's my customer focused team that provides Emerald with the competitive edge over other forwarders. The Emerald team are highly qualified logistics professionals that live by our company ethos which includes"" Leadership by Example Our Reputation is Key Accountability People Passion Performance To go above and Beyond Our Customer's Expectations. We believe it's our team at Emerald who make us dynamic and special, with hands on customer care and personal commitment to meet our customers' service demands on a daily basis, 24 7 365.",transportation
240,"Energy Saver Insulations was founded in 1995 by Tony Higgins after he had spent sixteen years working in the insulation business. We quickly established a reputation as a reliable and dependable company supplying top quality products at very competitive prices. With over twenty years experience in the insulation arena, our excellent customer service and technical expertise have made us Ireland's leading independent insulation company, providing an extensive range of building products to meet all of our customer's needs. We source and supply the best quality materials at the lowest prices from leading manufacturers such as Xtratherm, Kingspan, Quinntherm and K Rend. We have been involved in a great number of major developments across the country inculding The Aviva Stadium, The Microsoft Building, The RCSI, Capital Dock, The Point Village and Apple in Cork. We offer a full technical backup service and a fast, efficient and reliable delivery service.",construction
241,"At Engine & Truck (NI) Ltd. we are one of Northern Ireland's leading Commercial Vehicle Spare Parts Specialists. We supply vehicle spare parts for cars, vans, lorries, buses/coaches and trailers. This range of spare parts is supplemented by our range of consumable products, cleaning products and fluids to keep these vehicles working for longer. We have one of the largest portfolio of quality brand name suppliers in Northern Ireland due to our affiliation to the Alliance Automotive group. As a member of this European wide buying group we have no end to Original Equipment Manufacturers and Aftermarket suppliers to suits everyone's needs. We have access to all lines of spare parts for; Volvo Scania Daf Mercedes Renault Iveco We are also the UK Sub-Dealer for Irizar coach parts.",transportation
242,"Covering the whole of Northern Ireland, Enhance Systems' full complement of business computer services provides managed IT support, security, cloud services, data backup and now managed cloud server hosting to our clients. We also offer hardware leasing and server sales. Enhance Systems partners with a variety of leading vendors to ensure we can always offer your business the best service. Vendors include, Microsoft, Hewlett Packard, Fujitsu, Panda Security, Netgear, Ubiquiti, plus many more.",it
243,Our mission is to provide the best quality products on the market at the best price for our customers. This makes us stand our against our competitors.Our vision is to be the No.1 Stainless Steel Specialist in Ireland that provides a excellent customer service and provides superior quality products. Our company is based on the belief that our customers' needs are of the utmost importance. Our entire team is committed to meeting those needs.,engineering
244,"Errol Fowler & Sons have been manufacturing oil storage tanks to the highest quality since 1972. We have over 70 years of experience in bringing bespoke solutions for your fuel storage requirements. We manufacture a wide range of tanks for to regulation for all applications. Whether it be for fuelling vehicles, feeding generators or heating systems we can manufacture a tank to suit your needs.",engineering
245,"ESL Engineering supplying Northern Ireland, Republic of Ireland and the UK. ESL Engineering Limited is located on the outskirts of Coleraine in Northern Ireland, and has been operating since 1983. The company was initially setup as a material processing and fabrication shop supplying farm and agricultural products. Shortly afterwards we became a specialist in machining and fabrication for the quarry and recycling industries producing large eccentric / concentric shafts and pipe units. The fabrication shop was expanded to accommodate the design and manufacture of bespoke products for a variety of industries, ie. transportation, recreational and construction. Our coded welders are experienced in producing our standard high volume products through to setting up and jigging new product lines as well as the detailed and complicated fabrication of some of our bespoke products. Moving into sheet metal manufacture we became specialists in profiling and plasma cutting of metal plate which has enabled us to enter many new industries. Ie. Energy, water treatment, waste management and road. Most recently we have moved into CNC machining and milling which has enable us to provide our customers with a versatile one stop service with the capacity to do the entire manufacture of their sub components. Since implementing MRP in 2011, ESL Engineering Limited has improved the efficiency of their processes. Through from quotation, sales handling, purchasing, production planning, inventory control, despatch and invoicing, the time spent on these processes is reduced to a minimum meaning more time can be spent improving the manufacturing processes to produce more competitively priced products for our customers in reduced lead times without sacrificing quality. Our core vision is through a process of measurement and continuous improvement we aim to not only determine and meet; but also exceed our customer's requirements. We work with both new and existing customers to develop smarter manufacturing techniques to provide the customer with the product, quality and service that they desire.",engineering
246,"ETS Control Systems is one of the leading companies specializing in the design, manufacture, installation and commissioning of automated control systems, established in 1994.We have an international customer base and are proud of the quality of our service.ETS Control Systems prides itself on the standard of workmanship, the fact that we provide a fast, reliable service and we know from our customers that we offer exceptional value for money.Our existing client base includes the following sectors: Sand and quarry plants Food processors Recycling plants Agricultural industry Engineering sectors Construction Water treatment Animal feeds At the core of our business we see innovation and development as the keys to our success. We have invested in the training of our staff to ensure that they have the skills and design creativity to be able to assist our customers to identify the most effective control panel concepts.Our strengths lie in the quality of our product, our high service standards, our innovation and design capabilities and the fact that we offer all our customers a complete commissioning and after sales service",electrical
247,"Eugene Corrigan Building Designs is the architectural services business of sole trader Eugene Corrigan, based in Omagh, Co. Tyrone, N Ireland. Born in February 2000, the business has grown steadily and strong working relationships have been built up with other related codes and disciplines within the industry. Projects vary from conservation design to modern design, planning consultancy to mapping, residential housing to recreational facilities, and industrial build to domestic renovation. Please feel free to contact us to discuss your project.",construction
248,"Eurocables Belfast was formed in 1989 to supply specialist cables and components to electrical, computer networking, telecommunication and heavy industry. At Eurocables we are committed to offering the highest possible level of customer service. We believe that this begins the moment you call us. Eurocables continues to provide core products such as: YY Control Flex SY Braided Flex LIYCY Screened Cable HO7 Rubber Flex Telecoms Cable Fibre Optic Cable Tri-rated Panel Wire SIWO-KUL Connection Cables EUROTUFF Power Cables",electrical
249,"The company, established in 1998, has grown to become one of Ireland's largest fabricators of aggregate handling systems, while also commanding a large proportion of Ireland's structural steel erection market share. We are one of the largest silo manufacturers in Ireland. The company has risen to the challenge of the current difficult economic climate. We have developed storage and delivery solutions for green energy facilities and have secured governmental projects which have ensured positive positioning for future growth. Eurofab Engineering Structures Ltd is fully committed to continual improvement and have achieved certification in ISO 9001 (Quality Management) ISO 14001 (Environmental Management) OHSAS 18001 (Occupational Health and Safety Management) We are an equal opportunities employer and have an exemplary Health & Safety record for both on-site and in-house construction. We have also achieved BS EN 1090-2 certification and adhere to their stringent requirements. This means that our products are appropriately CE marked and comply with the European Construction Products Directive (ECPD) and we can trace all components used back to original manufacture. We hope that you find what we do to be of interest and if you'd like to talk to us about your next project, please contact us.",engineering
250,"We offer scalable and flexible storage solutions for all business sectors - short term or longer term in our multi-user facilities. Our facilities are tailored to suit a wide-range of products from small high - value electronics to larger palletised finished goods. Products handled include Electronics, Telecommunications, Food, Retail, Industrial, Nutrition and Beauty products. We are ideally located in Dublin beside the M50 network with easy access to Dublin Port / Dublin Airport Our storage services are all supported by our world-class WMS and IT systems.",transportation
251,"Established in 2001, by Managing Director Joseph M English. Eva-Tec was incorporated as a Commercial Adhesive Supplier, Manufacturing and Distribution company, following the MBO of Smurfit Adhesives . Eva-Tec is the largest supplier of industrial adhesives to the paper and board, graphic arts, and beverage industry in Ireland, supplying many of Ireland's blue chip companies. Eva-Tec head office is based in Balbriggan which is only 20 minutes from Dublin Airport, located on the Dublin- Belfast railway line, and only 5 minutes from the M1 motorway",industry
252,"Building on decades of IT experience, EVAD IT Solutions was founded in 2005 to bring enterprise-class skills and technology to small- and medium-size businesses at a price they could afford. Over ten years on, EVAD IT Solutions continue to provide best in class, friendly IT support services and proven affordable technology solutions to customers across the Ireland. Whether you're an established Enterprise or Small or Medium Sized business, we understand how critical it is to consistently meet the current and evolving demands of an ever-changing economic landscape. Our success comes in part from working closely with our clients to deploy solutions that meet current needs but are flexible enough to accommodate future growth and changing business requirements. We believe that each of our client's - is our partner, and we are committed to working with you and your business to achieve our mutual goals. Our dedicated team of friendly, experienced and reliable IT professionals are just a visit, call, email or IM away to ""Empowering IT"".",it
253,"Evans Plant Limited was founded in the early 1980's, primarily as a Plant Hire Company for the Civil Engineering Industry. At that time, Machinery and parts were hard to source, so the Company started to manufacture components in-house. Examples of this being crane jibs, excavator buckets / attachments and load loaders to name a few. Following on from this, the Company expanded into the manufacture of Major Steelworks. These includes - Gantries / Walkways on Sewage Works; Fencing / Staircases on Railway Works; Fender Piles and Heavy Profiled Components for Marine Contracts; Bridge structures and Portal Framed Buildings; Components to the Off-Shore Oil Drilling Industry. All Steelworks are manufactured to CE accreditation and an In-House Design Team is available if required.",engineering
254,"At Everything IT, information communication technology (ICT) services and solutions are our passion. Since 2010, our organically-formed multi-faceted team of ICT experts has been fortunate to work with businesses of various sizes and industries throughout Ireland and the UK. Our company has partnered up with leading manufacturers and suppliers of IT over the past few years, meaning that we are able to provide you with top quality service and guidance while giving you access to the most cutting edge tools and materials available in the industry. Being a continuously developing organization, we pride ourselves on promoting the newest technologies available today, which will ensure that your infrastructure is capable of supporting your important business processes. Some of these processes include: Systems availability Performance Information security Data protection We are working towards having our internal management systems certified to ISO 27001:2013 Information Security, ISO 9001:2008 Quality Management, ISO 14001:2004 Environmental Management, and IT Service Management best practice in IT service delivery. EverythingIT's ultimate goal is to help you maximize the value of your technology investment. We do so through our commitment to quality, value, and customer satisfaction. We have created numerous customized solutions which are empowering businesses and revolutionizing regions and industries. From simple e-commerce transactions to multifunctional enterprise-wide business process management solutions, EverythingIT is able to develop, manage, and maintain the systems your business needs to thrive and scale in today's competitive marketplace.",it
255,"Fabcon Engineering was founded in 1989 by Brian Donaghy and Kevin Hughes. We specialize in the manufacture of forklift and lorry attachments for the world-wide market. Our equipment uses industry-standard specifications and we can also custom-make to your own specification. We take pride in making strong, safe products, designed to keep working in the toughest environments. Fabcon Engineering also offer in-house CAD and a full service, repair and re-test facility for all our products allowing our customers to save time and money. All products are CE marked, Load Tested, and Certified and comply with safety requirements.",engineering
256,"''If you can dream it, we can build it'' Fabform specialises in Stainless Steel Fabrications. We offer complete set of solutions in stainless steel across all industries including the food service sector, chemical, pharmaceutical and manufacturing. We are committed to delivering and maintaining the highest standard of products and services. Our products and services surpass and exceed rigorous industry standards. With more than 30 years experience we are continuously developing and improving within all industries that we operate. We are dedicated adn determined to deliver you a product beyond your expectations.",engineering
257,"Fabweld have delivered many successful and unique products to commercial, public bodies and residential clients over many years. Our reputation is backed up with an exceptional knowledge of fabrication, welding, materials handling, construction and engineering. Fabweld has over 25 years' experience in designing and producing commercial staircases. We have designed bespoke commercial staircases for clients large and small throughout Ireland. Our engineers work with in a large range of materials which are carefully crafted specifically for your staircase design. Fabweld can create and install your staircase whether it is constructed using a mixture of glass, wood, stainless steel or iron. We guarantee that we will produce an exceptional feature staircase for your premises.",engineering
258,"Farleng Engineering is a leading provider of quality steel construction services throughout Ireland and the U.K. Specialising in steel fabrication and installation; we also offer a comprehensive steel construction service which includes, rigging, steel fabricating, roofing and cladding, demolition and renovation. Our staff possess a wealth of knowledge and skills and their expertise and experience provide us with the means to offer all of our clients the very highest standards in steel construction services in Dublin and, indeed, throughout Ireland and the U.K. For further information on our services or any of our domestic products contact us today.",engineering
259,"Farrelly Industrial Supplies Ltd was founded in 1994. We serve a wide spectrum of customers involved in the Irish construction industry at many different levels.Farrelly Industrial Supplies Ltd supplies many different types of fixings, fastenings, sealants, glues, expanding foam and power tools, furthermore, we stock a large range of hand tools, perfect for use from site preparation to final fit-out. We are always striving to source new and innovative products for our customers benefit. Our suppliers are leading manufacturers from Germany, Spain, UK and elsewhere.We only supply the very best branded products, consequently, almost all covered by approvals and warranties. Our same day delivery service in the greater Dublin area has proven to be of great benefit to our customers. We provide overnight deliveries to the rest of the country. Please call or e-mail for a copy of our brochure/price list.... Should you wish to open an account with us, you can download our credit application form here. Our trade counter is open from 8 to 5 Monday to Friday. We have in addition to the items in our catalogue a selection of hand tools,Magner bolts, nuts & washers, Chipboard Screws in stock. We have here under a list of links to our manufacturing suppliers where you can access additional technical information should you need it.",engineering
260,"Fastener Connections: Dedicated to your Success - With over 35 years experience in the Fastener Industry, Colin Hill and Martin Phillips established Fastener Connections Ltd in 2007. Originally based in the North of Ireland and South of England, Fastener Connections is now well sited to supply all major markets with supply points across the globe. Our company started in the most challenging economic climate conceivable, but has grown rapidly to service customer needs; embracing many new ranges of product and services along the way. Our customers are market leaders in a diverse range of industries including telecommunications, mobile phones, solar panel technology, alarms and security systems, the food industry, power supplies, agricultural supplies, hydroelectric power and green technology.",engineering
261,"FCC Fire Cert Limited has provided fire safety consultancy services for more than fifteen years for a range of project types and size, including hospitals, colleges, nursing homes, commercial and retail developments, industrial buildings, hospitality venues i.e. hotels, licensed premises and apartment developments. We have had responsibility for developing fire safety strategies, for new-build and for upgrading existing buildings, liaising with Fire Authorities, other design team members and clients to ensure delivery of economic and standards-compliant solutions. We have the responsibility for compiling and submitting Fire Safety Certificate applications and, where necessary, have experience of dealing with An Bord Pleanala with regard to any issues arising from appeals.",industry
262,"Fegan Transport Ltd is a family-owned haulage and storage business that provides services throughout Northern Ireland and the Republic of Ireland. Established in 1973, we have over 4 decades of knowledge and experience to back us in delivering professional and hassle-free services. Our services are mostly suitable for commercial companies but we also provide self-storage solutions for domestic clients. We have a large fleet of high-end vehicles and equipment to manage the entire process. Contact our team to find out more.",transportation
263,"Fernhill Stone are passionate about delivering true to nature, quality stone cladding and brick facing that is manufactured to the highest quality and design. Fernhill Stone was established in 1998 as distributors of stone cladding and brick cladding, importing their products from various suppliers across the globe that have a proven record in quality. Because of this, Fernhill Stone have the largest range of stone veneer in style, colour and texture which are suitable for both external and internal locations. Through commitment and service to their customers, Fernhill Stone has grown to become the market leader in stone facing and brick slips with offices throughout the UK and Ireland which have not only supplied stone cladding and brick veneer domestically, but internationally to Asia, Africa, the Middle East and mainland Europe. Fernhill stone and brick is cast in moulds using a unique process that replicates existing colours and textures of natural stone with meticulous detail. Each colour and texture has its own blend of unique ingredients: including volcanic rock, lightweight aggregates and iron oxide pigments producing the look, colour and feel of natural stone, closely matching the environment. Because of this unique process, the stone will weather and age the same as natural stone.",construction
264,"Ferrum Trading Company Ltd., operates from its depot in Baldoyle Industrial Estate. We specialise in the supply of Universal Beams, Columns, Channels, Angles, Flats, Rounds, Squares, Plates, MS Sheet, Galvanised Sheet and Coil, to the manufacturing, construction and the engineering industry. Ferrum Trading Company Ltd., operate a cutting service for heavier structural sections, universal beams, columns, channels and other sections. We offer a next day delivery service for steel within Dublin and the surrounding counties, and as steel stockholders, we are also suppliers of decorative ironwork fittings, which are used in the fabrication of gates, railings, stairs, and balconies",engineering
265,"Here at Finn Precision Engineering Ltd. our team of highly skilled engineers afford the same care and attention to detail to the production of one-off specialised machined metal or plastic components as we do to the production of multiple bulk component orders so rest assured that we have the capability, technology and state-of-the-art machinery to meet every high end machining requirement. We are proud to have been awarded the coveted ISO 9001 Quality Standard which means that all our precision milled and turned components are tested and guaranteed in accordance with that standard. In fact 'Quality on Time, Every Time' is the main cornerstone of our business. At Finn Precision Engineering Ltd. we constantly re-invest in our business. We continuously add to our already extensive array of in-house machinery with the latest state-of-the-art precision engineering machines which means we are always capable of filling any size order be it single component or low volume orders to the highest volume component orders but always carefully maintaining the high tolerance quality and consistency for which we have become renowned. All our highly qualified precision engineers here at Finn Precision Engineering Ltd. are also continuously upskilled to the highest degree in the latest up-to-date engineering techniques and procedures. All orders are given the highest priority to ensure the fastest possible delivery to the customer.",engineering
266,"Fire Defence was established in 1997. The business model has grown from supply and sales of fire extinguishers with some ancillary sales in Health and Safety to move towards offering clients full integrated fire and security services. Fire Alarms & Emergency Lighting Fire Extinguishers PAT Testing CCTV/Access Control/Intruder Fire Risk Assessments Fire Safety Training Nurse Call Fixed Wire Testing Dry/Wet Risers Fire Defence have achieved accreditations in IMS, Intergrated management system of ISO 9001, ISO14001 OHSAS 18001, BAFE SP101 SSAIB, Constructionline and Safe Contractor. Ongoing training with engineers offers clients confidence and compliance. The company have implemented a content management system that enables the company to have full site service history with engineers operating PDA devices enabling instant access to data from site and instant transmission of electronic certification and job reports. In 2017 Fire Defence (NI) Ltd became part of the Walker Fire UK Group with access to a service team throughout the UK and Ireland.",industry
267,"Fire Protection Services was founded in 1987 by Raymond Ward. Through the experience and professional attitude of it's employees and retailers, the company has become a leading distributor of Fire Fighting, Fire Prevention and Fire Detection material in Ireland: Fire Extinguishers, Fire Hose Reels, Fire Hoses, Hydrants, Foam Units, Powder Systems, Foam Systems, Dry Riser Equipment and CO2 and Halon replacement systems. FPS' broad range of products are used throughout the fire safety industry. Besides all this, FPS offer additional services such as technical assistance, fire safety training courses and maintenance on systems. As a leading member of the Fire Industry Association of Ireland, we are committed to delivering the highest quality goods at an economical price with excellent after-sales service. Our large stock holdings, one of the biggest in Ireland, and our vast range of products guarantee short delivery times and availability of all fire fighting material in a single supplier.",industry
268,"HEJ, WELCOME TO FJORD TELECOM Fjord Telecom offers carrier grade Cloud PBX & Unified Communications platform. An Irish company with Nordic heritage, we provide Remote Business Solutions to small and medium businesses across Europe. BRING YOUR OFFICE HOME To support the needs of business at this time, we have short-term remote communication packages from €11.95 per user per month. Migrate landlines, connect your team & customers & conduct online meetings. We are Ireland's most competitive SME & Enterprise Remote Business Solutions Provider.",it
